# 1|第一次见面|在语言学校，和新同学打个招呼。|敏智|你
안녕하세요.|你好。|日常见面的礼貌问候；见陌生人或老师也可以这样说。|안녕하세요=你好
저는 민지예요.|我叫敏智。|저는：我；名字后用 예요 / 이에요 表示“是”。|저=我（谦称）
이름이 뭐예요?|你叫什么名字？|直译是“名字是什么”；中文省去不自然的逐字对应。|이름=名字;뭐=什么
저는 리밍이에요.|我叫李明。|리밍 有收音 ㅇ，所以接 이에요。|이다=是
만나서 반가워요.|很高兴认识你。|만나다（见面）变为 만나서，后面接感受。|만나다=见面;반갑다=高兴见到
저도 반가워요.|我也很高兴认识你。|도 表示“也”。|도=也
# 1|你从哪里来|和同学互相介绍自己的国家。|敏智|你
어느 나라 사람이에요?|你是哪国人？|어느 用来询问“哪一个”。|어느=哪一个;나라=国家;사람=人
저는 중국 사람이에요.|我是中国人。|国籍可以用“国家名 + 사람”表达。|중국=中国
한국어를 공부해요?|你在学韩语吗？|同一句式加问号、用上扬语调，可以提问。|한국어=韩语;공부하다=学习
네, 한국어를 배워요.|是的，我在学韩语。|배우다 强调学习、学会某种知识或技能。|네=是;배우다=学习
한국에 언제 왔어요?|你什么时候来韩国的？|왔어요 是 오다 的过去式。|한국=韩国;언제=什么时候;오다=来
지난주에 왔어요.|我上周来的。|过去已经发生的动作，用过去时。|지난주=上周
# 1|这是我的书|在教室里辨认物品。|敏智|你
이게 뭐예요?|这是什么？|이게 是 이것이 的口语缩略形式。|이것=这个
한국어 책이에요.|是韩语书。|책 有收音，所以用 이에요。|책=书
이 책은 누구 거예요?|这本书是谁的？|누구 거：谁的东西，口语中常用。|누구=谁;거=东西（口语）
제 책이에요.|是我的书。|제 是 저의 的缩略形式，表示“我的”。|제=我的（谦称）
펜도 있어요?|你也有笔吗？|있어요 表示“有”或“在”。|펜=笔;있다=有；在
네, 가방 안에 있어요.|有，在包里。|안에 表示“在里面”。|가방=包;안=里面
# 1|一杯咖啡|在咖啡馆练习点单和数量。|店员|你
뭘 드릴까요?|您要点什么？|服务人员用 드릴까요 礼貌地询问需求。|드리다=给（敬语）
